station_eu_code;id_regione;id_provincia;id_comune;station_code;Regione;Provincia;Comune;nome_stazione;tipo_zona;tipo_stazione;TIPO;Lon;Lat;yy;n;sup25;sup15;media_yy;minimo;perc5;perc25;perc50;perc75;perc95;perc99.2;massimo;copertura;superamenti_ma;superamenti_ma10;superamenti_ma5;range_y;mappa_y;superamenti_d;superamenti_d15;range_d;range_d15;mappa_d;mappa_d15
IT2318A;19.0;81.0;19081021.0;1908102.0;Sicilia;Trapani;Trapani;TP - Diga Rubino;RURALE-REGIONALE;FONDO;RF;12.71802;37.882476;2021;213;3;22;9.0;2.0;3.0;4.0;7.0;10.0;21.0;31.0;132.0;0;0.0;0.0;1.0;"(5;10]";0;0;1;"(-Inf;3]";"(18; Inf]";0;0
IT2318A;19.0;81.0;19081021.0;1908102.0;Sicilia;Trapani;Trapani;TP - Diga Rubino;RURALE-REGIONALE;FONDO;RF;12.71802;37.882476;2022;343;2;14;7.0;2.0;3.0;5.0;6.0;9.0;14.0;23.0;28.0;1;0.0;0.0;1.0;"(5;10]";2;0;1;"(-Inf;3]";"(3;18]";1;2
IT2308A;19.0;82.0;19082006.0;1908274.0;Sicilia;Palermo;Bagheria;Bagheria;URBANA;FONDO;UF;13.504103;38.086111;2021;228;4;52;12.0;4.0;6.0;8.0;11.0;14.0;21.0;26.0;29.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT2308A;19.0;82.0;19082006.0;1908274.0;Sicilia;Palermo;Bagheria;Bagheria;URBANA;FONDO;UF;13.504103;38.086111;2022;360;7;87;13.0;4.0;6.0;9.0;12.0;15.0;22.0;33.0;48.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(3;18]";"(18; Inf]";2;3
IT1078A;19.0;82.0;19082053.0;1908205.0;Sicilia;Palermo;Palermo;PA - Indipendenza;URBANA;TRAFFICO;UT;13.350252;38.111034;2021;228;5;87;14.0;4.0;8.0;11.0;14.0;17.0;23.0;29.0;36.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT1078A;19.0;82.0;19082053.0;1908205.0;Sicilia;Palermo;Palermo;PA - Indipendenza;URBANA;TRAFFICO;UT;13.350252;38.111034;2022;352;7;148;15.0;6.0;8.0;11.0;14.0;18.0;23.0;28.0;60.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(3;18]";"(18; Inf]";2;3
IT1079A;19.0;82.0;19082053.0;1908208.0;Sicilia;Palermo;Palermo;PA - Castelnuovo;URBANA;TRAFFICO;UT;13.354215;38.124382;2013;276;4;116;14.0;5.0;7.0;10.0;14.0;17.0;22.0;26.0;35.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT1079A;19.0;82.0;19082053.0;1908208.0;Sicilia;Palermo;Palermo;PA - Castelnuovo;URBANA;TRAFFICO;UT;13.354215;38.124382;2014;112;12;35;14.0;5.0;6.0;9.0;12.0;17.0;30.0;35.0;38.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT1079A;19.0;82.0;19082053.0;1908208.0;Sicilia;Palermo;Palermo;PA - Castelnuovo;URBANA;TRAFFICO;UT;13.354215;38.124382;2021;230;5;76;14.0;3.0;7.0;10.0;13.0;17.0;23.0;28.0;32.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT1079A;19.0;82.0;19082053.0;1908208.0;Sicilia;Palermo;Palermo;PA - Castelnuovo;URBANA;TRAFFICO;UT;13.354215;38.124382;2022;308;14;121;15.0;5.0;7.0;10.0;14.0;18.0;25.0;32.0;55.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT1552A;19.0;82.0;19082053.0;1908209.0;Sicilia;Palermo;Palermo;PA - Di Blasi;URBANA;TRAFFICO;UT;13.329306;38.121681;2013;224;13;132;17.0;5.0;9.0;14.0;17.0;22.0;26.0;32.0;36.0;0;0.0;1.0;1.0;"(15;20]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT1552A;19.0;82.0;19082053.0;1908209.0;Sicilia;Palermo;Palermo;PA - Di Blasi;URBANA;TRAFFICO;UT;13.329306;38.121681;2014;151;10;61;15.0;7.0;8.0;11.0;14.0;18.0;27.0;36.0;49.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT2287A;19.0;82.0;19082053.0;1908271.0;Sicilia;Palermo;Palermo;PA - Villa Trabia;URBANA;FONDO;UF;13.346531;38.130696;2018;303;3;54;11.0;0.0;4.0;7.0;10.0;14.0;18.0;24.0;37.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(-Inf;3]";"(18; Inf]";0;0
IT2287A;19.0;82.0;19082053.0;1908271.0;Sicilia;Palermo;Palermo;PA - Villa Trabia;URBANA;FONDO;UF;13.346531;38.130696;2019;50;1;10;10.0;0.0;0.0;6.0;10.0;13.0;21.0;29.0;33.0;0;0.0;0.0;1.0;"(5;10]";0;0;1;"(-Inf;3]";"(3;18]";0;0
IT2297A;19.0;82.0;19082053.0;1908273.0;Sicilia;Palermo;Palermo;PA - UNIPA;URBANA;FONDO;UF;13.34653;38.105096;2020;300;5;67;11.0;3.0;5.0;8.0;10.0;14.0;21.0;28.0;38.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT2274A;19.0;84.0;19084028.0;1908497.0;Sicilia;Agrigento;Porto Empedocle;Porto Empedocle;SUBURBANA;FONDO;SF;13.532537;37.291894;2019;218;19;65;14.0;0.0;4.0;8.0;11.0;17.0;34.0;57.0;62.0;0;0.0;1.0;1.0;"(10;15]";0;1;1;"(18; Inf]";"(18; Inf]";0;0
IT2274A;19.0;84.0;19084028.0;1908497.0;Sicilia;Agrigento;Porto Empedocle;Porto Empedocle;SUBURBANA;FONDO;SF;13.532537;37.291894;2020;345;41;175;17.0;0.0;7.0;11.0;15.0;20.0;31.0;49.0;83.0;1;0.0;1.0;1.0;"(15;20]";4;1;1;"(18; Inf]";"(18; Inf]";3;3
